plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,cf_ac,cf_dc
645,Big Bend,FL,27.7944,-82.4036,TEC,1311.0,69.9,1241.1,4,0.23602397652101073,0.1815569050161621
7897,E B Harris Electric Generating Plant,AL,32.381352,-86.574366,SOCO,1304.0,0.0,1304.0,6,0.21617811295136788,0.16629085611643682
63931,CPV Three Rivers Energy Center,IL,41.372222,-88.284444,PJM,1300.0,0.0,1300.0,2,0.19655158399639908,0.1511935261510762
619,Riviera,FL,26.7653,-80.0525,FPL,1295.0,0.0,1295.0,4,0.2264022480038423,0.17415557538757098
609,Cape Canaveral,FL,28.4698,-80.7644,FPL,1295.0,0.0,1295.0,4,0.22850940169688683,0.17577646284375908
62926,"Jackson Generation, LLC",IL,41.438536,-88.110626,PJM,1288.6,0.0,1288.6,2,0.1978908679317843,0.152223744562911
55230,Jack County,TX,33.101,-97.9574,ERCO,1280.0,0.0,1280.0,6,0.2310190476789125,0.1777069597530096
400,Haynes,CA,33.764741,-118.09913,LDWP,1279.1,649.2,629.9000000000001,9,0.25060259832386783,0.1927712294798983
55372,Harquahala Generating Project,AZ,33.47596,-113.113434,HGMA,1277.1,0.0,1277.1,6,0.2687304295827328,0.20671571506364061
62192,Blue Water Energy Center,MI,42.773716,-82.479331,MISO,1267.4,0.0,1267.4,3,0.18732032891414402,0.1440925607031877
55131,Kendall County Generation Facility,IL,41.4797,-88.2581,PJM,1256.0,0.0,1256.0,8,0.19946018469551072,0.153430911304239
56237,Lake Side Power Plant,UT,40.331667,-111.754167,PACE,1246.5,0.0,1246.5,6,0.22398262997871035,0.1722943307528541
55965,Wansley Combined Cycle,GA,33.406385,-85.036988,SOCO,1239.0,0.0,1239.0,6,0.20220578690770422,0.15554291300592632
55502,"Lawrenceburg Power, LLC",IN,39.0911,-84.8669,PJM,1232.0,0.0,1232.0,6,0.19084259264054676,0.1468019943388821
