plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units
55397,Washington Energy Facility,OH,39.58,-81.6564,PJM,714.9000000000001,0.0,714.9000000000001,3
7838,Remington,VA,38.5442,-77.7714,PJM,705.5,705.5,0.0,4
55110,Madison,OH,39.4522,-84.4647,PJM,692.0,692.0,0.0,8
55222,Lincoln Generating Facility,IL,41.393315,-87.943612,PJM,692.0,692.0,0.0,8
55236,Lee Energy Facility,IL,41.8287,-89.4054,PJM,692.0,692.0,0.0,8
55347,Armstrong,PA,40.638021,-79.351725,PJM,688.0,688.0,0.0,4
55350,Dresden Energy Facility,OH,40.0928,-82.0276,PJM,678.3,0.0,678.3,3
2847,Tait Electric Generating Station,OH,39.727249,-84.211084,PJM,669.8,669.8,0.0,7
62565,"Hill Top Energy Center, LLC",PA,39.894212,-79.938201,PJM,664.7,0.0,664.7,1
55667,Lower Mount Bethel Energy,PA,40.801924,-75.107563,PJM,651.6,0.0,651.6,3
55183,Nelson Energy Center,IL,41.774444,-89.607222,PJM,627.5,0.0,627.5,4
55164,Bluegrass Generating Station,KY,38.3902,-85.4133,PJM,624.0,624.0,0.0,3
55231,Liberty Electric Power Plant,PA,39.8614,-75.3358,PJM,614.0,0.0,614.0,3
3804,Possum Point,VA,38.5367,-77.2806,PJM,613.0,0.0,613.0,3
55188,Cordova Energy,IL,41.712216,-90.279679,PJM,611.2,0.0,611.2,3
2411,PSEG Sewaren Generating Station,NJ,40.5558,-74.2469,PJM,609.5,0.0,609.5,2
2404,PSEG Kearny Generating Station,NJ,40.737283,-74.096464,PJM,605.0,605.0,0.0,10
55392,Zion Energy Center,IL,42.4776,-87.895,PJM,596.7,596.7,0.0,3
7872,Robert P Mone Plant,OH,40.9297,-84.7392,PJM,596.7,596.7,0.0,3
7836,Marsh Run Generation Facility,VA,38.5283,-77.7681,PJM,596.7,596.7,0.0,3
7158,Woodsdale,OH,39.4492,-84.4611,PJM,571.8,571.8,0.0,6
55247,"Darby Power, LLC",OH,39.7139,-83.1778,PJM,564.0,564.0,0.0,6
56807,Bear Garden,VA,37.695556,-78.285278,PJM,559.0,0.0,559.0,3
55710,Allegheny Energy Units 3 4 & 5,PA,40.545278,-79.768611,PJM,556.0,0.0,556.0,3
7837,Louisa Generation Facility,VA,38.1181,-78.2139,PJM,545.7,545.7,0.0,5
59326,Middletown Energy Center,OH,39.465,-84.347778,PJM,543.9,0.0,543.9,2
55438,MRP Elgin LLC,IL,42.000061,-88.244572,PJM,540.0,540.0,0.0,4
61035,Birdsboro Power,PA,40.268522,-75.799669,PJM,525.0,0.0,525.0,1
61322,Long Ridge Energy Generation,OH,39.70257,-80.84552,PJM,521.9,0.0,521.9,1
55276,Ceredo Generating Station,WV,38.3681,-82.5339,PJM,519.0,519.0,0.0,6
2393,Gilbert,NJ,40.565833,-75.163889,PJM,512.0,161.0,351.0,6
1571,Chalk Point Power,MD,38.5444,-76.6861,PJM,456.0,456.0,0.0,4
3797,Chesterfield,VA,37.3822,-77.3833,PJM,446.6,0.0,446.6,4
2880,Richland (OH),OH,41.305203,-84.334622,PJM,435.0,435.0,0.0,5
10308,Sayreville Cogeneration Facility,NJ,40.439,-74.3444,PJM,430.20000000000005,0.0,430.20000000000005,3
2869,West Lorain,OH,41.429444,-82.264444,PJM,425.0,425.0,0.0,5
10633,Hopewell Cogeneration,VA,37.291667,-77.281111,PJM,399.0,0.0,399.0,4
55938,NAEA Ocean Peaking Power LLC,NJ,40.0633,-74.1672,PJM,383.0,383.0,0.0,2
55349,Pleasants Energy LLC,WV,39.3325,-81.3642,PJM,382.8,382.8,0.0,2
60387,Invenergy Nelson Expansion LLC,IL,41.774417,-89.606528,PJM,380.0,380.0,0.0,2
55109,MRP Rocky Road LLC,IL,42.0931,-88.2397,PJM,374.0,374.0,0.0,3
7212,Darbytown,VA,37.498223,-77.368544,PJM,368.4,368.4,0.0,4
7032,Gravel Neck,VA,37.1575,-76.6911,PJM,367.6,367.6,0.0,4
57349,Garrison Energy Center LLC,DE,39.187195,-75.499396,PJM,361.0,0.0,361.0,2
55253,Crete Energy Venture LLC,IL,41.429444,-87.6187,PJM,356.0,356.0,0.0,4
55284,Big Sandy Peaker Plant,WV,38.3441,-82.5938,PJM,353.4,353.4,0.0,6
55250,University Park South,IL,41.440893,-87.753189,PJM,353.4,353.4,0.0,6
3096,Brunot Island,PA,40.464851,-80.043761,PJM,339.9,0.0,339.9,4
1556,Perryman,MD,39.442836,-76.221761,PJM,333.0,333.0,0.0,2
1572,Dickerson Power,MD,39.2097,-77.4644,PJM,326.0,326.0,0.0,2
55238,NRG Rockford I,IL,42.238558,-89.101202,PJM,316.0,316.0,0.0,2
55296,Calumet Energy Team LLC,IL,41.6835,-87.5563,PJM,312.8,312.8,0.0,2
58933,Shell Chemical Appalachia LLC,PA,40.671667,-80.336389,PJM,309.8,0.0,309.8,5
54844,Gordonsville Energy LP,VA,38.124688,-78.203543,PJM,300.4,0.0,300.4,4
55233,Handsome Lake Energy LLC,PA,41.2908,-79.8061,PJM,294.5,294.5,0.0,5
54832,Brandywine Power Facility,MD,38.6681,-76.8678,PJM,288.8,0.0,288.8,3
55285,Wolf Hills Energy,VA,36.6644,-82.1044,PJM,285.0,285.0,0.0,5
50561,Eagle Point Power Generation,NJ,39.8746,-75.1592,PJM,251.8,0.0,251.8,4
2399,PSEG Burlington Generating Station,NJ,40.076611,-74.879172,PJM,242.0,242.0,0.0,4
55228,Greenville Electric Generating Station,OH,40.075783,-84.615136,PJM,236.0,236.0,0.0,4
5083,Cumberland (NJ),NJ,39.3757,-74.9654,PJM,231.20000000000002,231.20000000000002,0.0,2
55216,Morris Cogeneration LLC,IL,41.411944,-88.332778,PJM,218.8,0.0,218.8,4
52193,Delaware City Plant,DE,39.5871,-75.6343,PJM,184.0,184.0,0.0,2
10751,Camden Plant Holding LLC,NJ,39.9175,-75.1192,PJM,172.9,0.0,172.9,2
7336,Anderson,IN,40.0529,-85.7389,PJM,168.7,168.7,0.0,3
55936,NRG Rockford II Energy Center,IL,42.2383,-89.1011,PJM,168.0,168.0,0.0,1
2831,Dick's Creek,OH,39.465,-84.3778,PJM,159.1,159.1,0.0,4
3176,Hunlock Power Station,PA,41.200556,-76.07,PJM,145.9,0.0,145.9,3
