plant_code,name,state,lat,lon,nameplate_MW,cf_ac,buffer_km,forest,acres_per_MW,power_density_MW_mi2,gas_cap,R,solar_req_MW,land_req_mi2,developable_area_mi2,developable_MW,usable_solar_MW,qualifies,headroom
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,5.0,128.0,0.05,6.923160431368978,14227.09468646325,111.14917723799414,21.28005907828275,2723.847562020192,2693.847562020192,False,0.18934628758627195
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,5.0,128.0,0.1,6.558783566560086,13478.300229280976,105.29922054125763,21.28005907828275,2723.847562020192,2693.847562020192,False,0.19986552578550926
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,5.0,128.0,0.2,5.830029836942298,11980.711314916423,93.59930714778456,21.28005907828275,2723.847562020192,2693.847562020192,False,0.2248487165086979
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,7.0,91.42857142857142,0.05,6.923160431368978,14227.09468646325,155.60884813319183,21.28005907828275,1945.605401442994,1924.1768300144226,False,0.1352473482759085
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,7.0,91.42857142857142,0.1,6.558783566560086,13478.300229280976,147.4189087577607,21.28005907828275,1945.605401442994,1924.1768300144226,False,0.1427610898467923
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,7.0,91.42857142857142,0.2,5.830029836942298,11980.711314916423,131.0390300068984,21.28005907828275,1945.605401442994,1924.1768300144226,False,0.16060622607764133
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,8.0,80.0,0.05,6.923160431368978,14227.09468646325,177.83868358079062,21.28005907828275,1702.40472626262,1683.65472626262,False,0.11834142974141997
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,8.0,80.0,0.1,6.558783566560086,13478.300229280976,168.4787528660122,21.28005907828275,1702.40472626262,1683.65472626262,False,0.12491595361594328
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,excl_forest,8.0,80.0,0.2,5.830029836942298,11980.711314916423,149.7588914364553,21.28005907828275,1702.40472626262,1683.65472626262,False,0.1405304478179362
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,5.0,128.0,0.05,6.923160431368978,14227.09468646325,111.14917723799414,40.44215476588092,5176.595810032758,5146.595810032758,False,0.3617460854414376
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,5.0,128.0,0.1,6.558783566560086,13478.300229280976,105.29922054125763,40.44215476588092,5176.595810032758,5146.595810032758,False,0.3818430901881841
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,5.0,128.0,0.2,5.830029836942298,11980.711314916423,93.59930714778456,40.44215476588092,5176.595810032758,5146.595810032758,False,0.42957347646170707
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,7.0,91.42857142857142,0.05,6.923160431368978,14227.09468646325,155.60884813319183,40.44215476588092,3697.5684357376836,3676.1398643091125,False,0.2583900610295983
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,7.0,91.42857142857142,0.1,6.558783566560086,13478.300229280976,147.4189087577607,40.44215476588092,3697.5684357376836,3676.1398643091125,False,0.27274506442013147
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,7.0,91.42857142857142,0.2,5.830029836942298,11980.711314916423,131.0390300068984,40.44215476588092,3697.5684357376836,3676.1398643091125,False,0.3068381974726479
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,8.0,80.0,0.05,6.923160431368978,14227.09468646325,177.83868358079062,40.44215476588092,3235.372381270474,3216.622381270474,False,0.22609130340089853
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,8.0,80.0,0.1,6.558783566560086,13478.300229280976,168.4787528660122,40.44215476588092,3235.372381270474,3216.622381270474,False,0.23865193136761506
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,10.0,incl_forest,8.0,80.0,0.2,5.830029836942298,11980.711314916423,149.7588914364553,40.44215476588092,3235.372381270474,3216.622381270474,False,0.26848342278856696
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,5.0,128.0,0.05,6.923160431368978,14227.09468646325,111.14917723799414,6.3038513323066585,806.8929705352523,776.8929705352523,False,0.05460657904206176
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,5.0,128.0,0.1,6.558783566560086,13478.300229280976,105.29922054125763,6.3038513323066585,806.8929705352523,776.8929705352523,False,0.05764027787773184
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,5.0,128.0,0.2,5.830029836942298,11980.711314916423,93.59930714778456,6.3038513323066585,806.8929705352523,776.8929705352523,False,0.06484531261244833
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,7.0,91.42857142857142,0.05,6.923160431368978,14227.09468646325,155.60884813319183,6.3038513323066585,576.3521218108945,554.923550382323,False,0.039004699315758395
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,7.0,91.42857142857142,0.1,6.558783566560086,13478.300229280976,147.4189087577607,6.3038513323066585,576.3521218108945,554.923550382323,False,0.04117162705552274
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,7.0,91.42857142857142,0.2,5.830029836942298,11980.711314916423,131.0390300068984,6.3038513323066585,576.3521218108945,554.923550382323,False,0.046318080437463084
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,8.0,80.0,0.05,6.923160431368978,14227.09468646325,177.83868358079062,6.3038513323066585,504.30810658453265,485.55810658453265,False,0.034129111901288596
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,8.0,80.0,0.1,6.558783566560086,13478.300229280976,168.4787528660122,6.3038513323066585,504.30810658453265,485.55810658453265,False,0.0360251736735824
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,excl_forest,8.0,80.0,0.2,5.830029836942298,11980.711314916423,149.7588914364553,6.3038513323066585,504.30810658453265,485.55810658453265,False,0.0405283203827802
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,5.0,128.0,0.05,6.923160431368978,14227.09468646325,111.14917723799414,10.816729191998329,1384.541336575786,1354.541336575786,False,0.09520856973452217
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,5.0,128.0,0.1,6.558783566560086,13478.300229280976,105.29922054125763,10.816729191998329,1384.541336575786,1354.541336575786,False,0.10049793471977338
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,5.0,128.0,0.2,5.830029836942298,11980.711314916423,93.59930714778456,10.816729191998329,1384.541336575786,1354.541336575786,False,0.11306017655974505
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,7.0,91.42857142857142,0.05,6.923160431368978,14227.09468646325,155.60884813319183,10.816729191998329,988.9580975541328,967.5295261255613,False,0.0680061212389444
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,7.0,91.42857142857142,0.1,6.558783566560086,13478.300229280976,147.4189087577607,10.816729191998329,988.9580975541328,967.5295261255613,False,0.0717842390855524
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,7.0,91.42857142857142,0.2,5.830029836942298,11980.711314916423,131.0390300068984,10.816729191998329,988.9580975541328,967.5295261255613,False,0.08075726897124645
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,8.0,80.0,0.05,6.923160431368978,14227.09468646325,177.83868358079062,10.816729191998329,865.3383353598663,846.5883353598663,False,0.05950535608407635
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,8.0,80.0,0.1,6.558783566560086,13478.300229280976,168.4787528660122,10.816729191998329,865.3383353598663,846.5883353598663,False,0.06281120919985836
62949,Guernsey Power Station,OH,39.9364,-81.5354,2055.0,0.1783867371329704,5.0,incl_forest,8.0,80.0,0.2,5.830029836942298,11980.711314916423,149.7588914364553,10.816729191998329,865.3383353598663,846.5883353598663,False,0.07066261034984066
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,5.0,128.0,0.05,5.873718982666403,10415.86587196233,81.37395212470571,36.25105444511853,4640.134968975171,4610.134968975171,False,0.44260698300511336
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,5.0,128.0,0.1,5.564575878315541,9867.662405016948,77.09111253919491,36.25105444511853,4640.134968975171,4610.134968975171,False,0.4671962598387306
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,5.0,128.0,0.2,4.9462896696138134,8771.255471126175,68.52543336817324,36.25105444511853,4640.134968975171,4610.134968975171,False,0.525595792318572
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,7.0,91.42857142857142,0.05,5.873718982666403,10415.86587196233,113.92353297458801,36.25105444511853,3314.3821206965504,3292.9535492679793,False,0.31614784500365234
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,7.0,91.42857142857142,0.1,5.564575878315541,9867.662405016948,107.92755755487289,36.25105444511853,3314.3821206965504,3292.9535492679793,False,0.3337116141705218
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,7.0,91.42857142857142,0.2,4.9462896696138134,8771.255471126175,95.93560671544255,36.25105444511853,3314.3821206965504,3292.9535492679793,False,0.3754255659418371
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,8.0,80.0,0.05,5.873718982666403,10415.86587196233,130.19832339952913,36.25105444511853,2900.0843556094824,2881.3343556094824,False,0.27662936437819585
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,8.0,80.0,0.1,5.564575878315541,9867.662405016948,123.34578006271185,36.25105444511853,2900.0843556094824,2881.3343556094824,False,0.29199766239920666
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,excl_forest,8.0,80.0,0.2,4.9462896696138134,8771.255471126175,109.64069338907719,36.25105444511853,2900.0843556094824,2881.3343556094824,False,0.3284973701991075
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,5.0,128.0,0.05,5.873718982666403,10415.86587196233,81.37395212470571,101.25532968797226,12960.68220006045,12930.68220006045,True,1.2414409285806531
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,5.0,128.0,0.1,5.564575878315541,9867.662405016948,77.09111253919491,101.25532968797226,12960.68220006045,12930.68220006045,True,1.3104098690573556
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,5.0,128.0,0.2,4.9462896696138134,8771.255471126175,68.52543336817324,101.25532968797226,12960.68220006045,12930.68220006045,True,1.4742111026895253
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,7.0,91.42857142857142,0.05,5.873718982666403,10415.86587196233,113.92353297458801,101.25532968797226,9257.63014290032,9236.201571471749,False,0.8867435204147521
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,7.0,91.42857142857142,0.1,5.564575878315541,9867.662405016948,107.92755755487289,101.25532968797226,9257.63014290032,9236.201571471749,False,0.9360070493266824
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,7.0,91.42857142857142,0.2,4.9462896696138134,8771.255471126175,95.93560671544255,101.25532968797226,9257.63014290032,9236.201571471749,True,1.053007930492518
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,8.0,80.0,0.05,5.873718982666403,10415.86587196233,130.19832339952913,101.25532968797226,8100.426375037781,8081.676375037781,False,0.7759005803629082
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,8.0,80.0,0.1,5.564575878315541,9867.662405016948,123.34578006271185,101.25532968797226,8100.426375037781,8081.676375037781,False,0.8190061681608473
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,10.0,incl_forest,8.0,80.0,0.2,4.9462896696138134,8771.255471126175,109.64069338907719,101.25532968797226,8100.426375037781,8081.676375037781,False,0.9213819391809533
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,5.0,128.0,0.05,5.873718982666403,10415.86587196233,81.37395212470571,9.863211301261904,1262.4910465615237,1232.4910465615237,False,0.11832823710596847
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,5.0,128.0,0.1,5.564575878315541,9867.662405016948,77.09111253919491,9.863211301261904,1262.4910465615237,1232.4910465615237,False,0.1249020280563
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,5.0,128.0,0.2,4.9462896696138134,8771.255471126175,68.52543336817324,9.863211301261904,1262.4910465615237,1232.4910465615237,False,0.14051478156333755
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,7.0,91.42857142857142,0.05,5.873718982666403,10415.86587196233,113.92353297458801,9.863211301261904,901.7793189725169,880.3507475439454,False,0.08452016936140604
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,7.0,91.42857142857142,0.1,5.564575878315541,9867.662405016948,107.92755755487289,9.863211301261904,901.7793189725169,880.3507475439454,False,0.08921573432592857
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,7.0,91.42857142857142,0.2,4.9462896696138134,8771.255471126175,95.93560671544255,9.863211301261904,901.7793189725169,880.3507475439454,False,0.10036770111666966
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,8.0,80.0,0.05,5.873718982666403,10415.86587196233,130.19832339952913,9.863211301261904,789.0569041009524,770.3069041009524,False,0.0739551481912303
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,8.0,80.0,0.1,5.564575878315541,9867.662405016948,123.34578006271185,9.863211301261904,789.0569041009524,770.3069041009524,False,0.07806376753518751
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,excl_forest,8.0,80.0,0.2,4.9462896696138134,8771.255471126175,109.64069338907719,9.863211301261904,789.0569041009524,770.3069041009524,False,0.08782173847708596
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,5.0,128.0,0.05,5.873718982666403,10415.86587196233,81.37395212470571,25.289073621076533,3237.001423497796,3207.001423497796,False,0.3078958065435997
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,5.0,128.0,0.1,5.564575878315541,9867.662405016948,77.09111253919491,25.289073621076533,3237.001423497796,3207.001423497796,False,0.32500112912935514
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,5.0,128.0,0.2,4.9462896696138134,8771.255471126175,68.52543336817324,25.289073621076533,3237.001423497796,3207.001423497796,False,0.3656262702705246
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,7.0,91.42857142857142,0.05,5.873718982666403,10415.86587196233,113.92353297458801,25.289073621076533,2312.143873926997,2290.7153024984254,False,0.21992557610257119
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,7.0,91.42857142857142,0.1,5.564575878315541,9867.662405016948,107.92755755487289,25.289073621076533,2312.143873926997,2290.7153024984254,False,0.23214366366382505
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,7.0,91.42857142857142,0.2,4.9462896696138134,8771.255471126175,95.93560671544255,25.289073621076533,2312.143873926997,2290.7153024984254,False,0.26116162162180323
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,8.0,80.0,0.05,5.873718982666403,10415.86587196233,130.19832339952913,25.289073621076533,2023.1258896861227,2004.3758896861227,False,0.19243487908974982
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,8.0,80.0,0.1,5.564575878315541,9867.662405016948,123.34578006271185,25.289073621076533,2023.1258896861227,2004.3758896861227,False,0.20312570570584695
59913,Greensville County Power Station,VA,36.718236,-77.649559,1773.3,0.2102586119023634,5.0,incl_forest,8.0,80.0,0.2,4.9462896696138134,8771.255471126175,109.64069338907719,25.289073621076533,2023.1258896861227,2004.3758896861227,False,0.22851641891907787
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,5.0,128.0,0.05,6.33727347293942,11026.85584291459,86.14731127277024,1.6161850254428238,206.87168325668145,176.87168325668145,False,0.016040083027868003
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,5.0,128.0,0.1,6.0037327638373466,10446.495009076983,81.61324225841393,1.6161850254428238,206.87168325668145,176.87168325668145,False,0.016931198751638444
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,5.0,128.0,0.2,5.336651345633196,9285.77334140176,72.54510422970125,1.6161850254428238,206.87168325668145,176.87168325668145,False,0.019047598595593254
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,7.0,91.42857142857142,0.05,6.33727347293942,11026.85584291459,120.60623578187835,1.6161850254428238,147.76548804048673,126.3369166119153,False,0.011457202162762858
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,7.0,91.42857142857142,0.1,6.0037327638373466,10446.495009076983,114.25853916177952,1.6161850254428238,147.76548804048673,126.3369166119153,False,0.012093713394027457
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,7.0,91.42857142857142,0.2,5.336651345633196,9285.77334140176,101.56314592158176,1.6161850254428238,147.76548804048673,126.3369166119153,False,0.013605427568280894
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,8.0,80.0,0.05,6.33727347293942,11026.85584291459,137.83569803643238,1.6161850254428238,129.2948020354259,110.5448020354259,False,0.010025051892417501
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,8.0,80.0,0.1,6.0037327638373466,10446.495009076983,130.5811876134623,1.6161850254428238,129.2948020354259,110.5448020354259,False,0.010581999219774027
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,excl_forest,8.0,80.0,0.2,5.336651345633196,9285.77334140176,116.072166767522,1.6161850254428238,129.2948020354259,110.5448020354259,False,0.011904749122245784
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,5.0,128.0,0.05,6.33727347293942,11026.85584291459,86.14731127277024,4.276583338663692,547.4026673489526,517.4026673489526,False,0.04692204874351509
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,5.0,128.0,0.1,6.0037327638373466,10446.495009076983,81.61324225841393,4.276583338663692,547.4026673489526,517.4026673489526,False,0.049528829229265915
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,5.0,128.0,0.2,5.336651345633196,9285.77334140176,72.54510422970125,4.276583338663692,547.4026673489526,517.4026673489526,False,0.05571993288292417
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,7.0,91.42857142857142,0.05,6.33727347293942,11026.85584291459,120.60623578187835,4.276583338663692,391.0019052492518,369.5733338206804,False,0.033515749102510775
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,7.0,91.42857142857142,0.1,6.0037327638373466,10446.495009076983,114.25853916177952,4.276583338663692,391.0019052492518,369.5733338206804,False,0.035377735163761366
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,7.0,91.42857142857142,0.2,5.336651345633196,9285.77334140176,101.56314592158176,4.276583338663692,391.0019052492518,369.5733338206804,False,0.03979995205923154
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,8.0,80.0,0.05,6.33727347293942,11026.85584291459,137.83569803643238,4.276583338663692,342.12666709309536,323.37666709309536,False,0.02932628046469693
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,8.0,80.0,0.1,6.0037327638373466,10446.495009076983,130.5811876134623,4.276583338663692,342.12666709309536,323.37666709309536,False,0.030955518268291196
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,10.0,incl_forest,8.0,80.0,0.2,5.336651345633196,9285.77334140176,116.072166767522,4.276583338663692,342.12666709309536,323.37666709309536,False,0.03482495805182761
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,5.0,128.0,0.05,6.33727347293942,11026.85584291459,86.14731127277024,0.5518172049888636,70.63260223857453,40.632602238574535,False,0.003684876524860293
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,5.0,128.0,0.1,6.0037327638373466,10446.495009076983,81.61324225841393,0.5518172049888636,70.63260223857453,40.632602238574535,False,0.0038895918873525304
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,5.0,128.0,0.2,5.336651345633196,9285.77334140176,72.54510422970125,0.5518172049888636,70.63260223857453,40.632602238574535,False,0.004375790873271598
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,7.0,91.42857142857142,0.05,6.33727347293942,11026.85584291459,120.60623578187835,0.5518172049888636,50.45185874183895,29.02328731326752,False,0.0026320546606144945
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,7.0,91.42857142857142,0.1,6.0037327638373466,10446.495009076983,114.25853916177952,0.5518172049888636,50.45185874183895,29.02328731326752,False,0.0027782799195375215
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,7.0,91.42857142857142,0.2,5.336651345633196,9285.77334140176,101.56314592158176,0.5518172049888636,50.45185874183895,29.02328731326752,False,0.0031255649094797124
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,8.0,80.0,0.05,6.33727347293942,11026.85584291459,137.83569803643238,0.5518172049888636,44.14537639910908,25.395376399109082,False,0.002303047828037683
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,8.0,80.0,0.1,6.0037327638373466,10446.495009076983,130.5811876134623,0.5518172049888636,44.14537639910908,25.395376399109082,False,0.0024309949295953314
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,excl_forest,8.0,80.0,0.2,5.336651345633196,9285.77334140176,116.072166767522,0.5518172049888636,44.14537639910908,25.395376399109082,False,0.0027348692957947485
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1740.0,0.1948787606016266,5.0,incl_forest,5.0,128.0,0.05,6.33727347293942,11026.85584291459,86.14731127277024,0.8982666718490001,114.97813399667201,84.97813399667201,False,0.007706470022574523
