plant_code,name,state,ba,lat,lon,nameplate_MW,cf_ac,developable_area_mi2,developable_MW,usable_solar_MW,R_g5,R_g10,R_g20,headroom_g5,headroom_g10,headroom_g20,land_req_mi2_g5,land_req_mi2_g10,land_req_mi2_g20,qualifies_g5,qualifies_g10,qualifies_g20,solar_req_MW_g5,solar_req_MW_g10,solar_req_MW_g20,gas_cf,net_gen_MWh_2024,qualifying_any,hostable_MW_g5,hostable_MW_g10,hostable_MW_g20
55230,Jack County,TX,ERCO,33.101,-97.9574,1280.0,0.1777069597530096,85.53548918464342,7820.387582595969,7798.959011167398,6.949643400103716,6.583872694835101,5.852331284297867,0.8767265277789072,0.9254335570999573,1.041112751737452,97.29500760145204,92.17421772769143,81.93263798017016,0.0,0.0,1.0,8895.543552132756,8427.35704938893,7490.9840439012705,0.6029879245148402,6761183.0,True,1122.2099555570012,1184.5549530879455,1280.0
55372,Harquahala Generating Project,AZ,HGMA,33.47596,-113.113434,1277.1,0.2067157150636406,81.12963884329972,7417.56697995883,7396.138408530259,5.9743885442855,5.659947041954686,5.031064037293053,0.9693634964521336,1.0232170240328073,1.1511191520369086,83.45193948335795,79.05973214212861,70.27531745966985,0.0,1.0,1.0,7629.891609907011,7228.318367280329,6425.171882026957,0.2988527446422742,3343384.0,True,1237.9741213190198,1277.1,1277.1
60122,Colorado Bend II,TX,ERCO,29.289415,-96.065399,1230.3,0.1662990995408123,92.09335712705516,8419.9640801879,8398.535508759327,7.4263781548433005,7.035516146693654,6.253792130394359,0.9192115629400907,0.9702788719923178,1.0915637309913575,99.93236141769687,94.67276344834441,84.15356750963947,0.0,0.0,1.0,9136.673043903713,8655.795515277203,7694.040458024179,0.6475182204882278,6978581.0,True,1130.9059858851936,1193.7340962121484,1230.3
55215,Odessa-Ector Power Plant,TX,ERCO,31.8403,-102.3264,1152.8,0.201689299208725,71.00719855279242,6492.086724826734,6470.6581533981625,6.123279741886149,5.801001860734248,5.156446098430442,0.9166644483125037,0.9675902509965316,1.0885390323710982,77.206903445507,73.14338221153295,65.01633974358485,0.0,0.0,1.0,7058.916886446353,6687.3949450544405,5944.3510622706135,0.7428333119440774,7501523.0,True,1056.7307760146543,1115.4380413488016,1152.8
6112,Fort St Vrain,CO,PSCO,40.2461,-104.8742,1148.5,0.1819376467466706,97.991337870302,8959.208033856183,8937.77946242761,6.788039870162826,6.430774613838468,5.716244101189749,1.146447707736937,1.2101392470556556,1.3614066529376125,85.26944771277195,80.7815820436787,71.80585070549218,1.0,1.0,1.0,7796.063790882005,7385.74464399348,6565.106350216426,0.3826982981574139,3850274.0,True,1148.5,1148.5,1148.5
55455,Red Hawk,AZ,SRP,33.334562,-112.840641,1127.0,0.2053262336365061,79.875540422138,7302.906552881188,7281.477981452616,6.014818360650153,5.698248973247515,5.065110198442235,1.0741702195566423,1.1338463428653445,1.2755771357235126,74.14203444870166,70.23982210929633,62.435397430485615,1.0,1.0,1.0,6778.700292452722,6421.926592849949,5708.379193644399,0.4227811136366399,4173915.0,True,1127.0,1127.0,1127.0
55097,Lamar Power Project,TX,ERCO,33.6308,-95.59,1112.6,0.1642711959169675,81.24570115215758,7428.178391054406,7406.749819625835,7.518055695072937,7.122368553226995,6.330994269535106,0.8854888179838593,0.9346826412051845,1.0515179713558327,91.48768963182351,86.67254807225387,77.04226495311455,0.0,0.0,1.0,8364.588766338149,7924.347252320354,7043.864224284758,0.6092878009221069,5938348.0,True,985.1948588888417,1039.9279066048882,1112.6
55153,Guadalupe Generating Station,TX,ERCO,29.6244,-98.1419,1088.2,0.1703426288513634,78.03869801308817,7134.966675482346,7113.538104053774,7.2500935809651565,6.868509708282782,6.105341962918028,0.90164032799316,0.9517314573261129,1.0706978894918773,86.29197319319374,81.75029039355199,72.66692479426843,0.0,0.0,1.0,7889.551834806283,7474.312264553324,6643.833124047398,0.6766645350413191,6450394.0,True,981.1650049221568,1035.6741718622761,1088.2
55144,Hays Energy Project,TX,ERCO,29.7806,-97.9894,989.0,0.1709281225010298,81.53481444847415,7454.611606717635,7433.183035289064,7.22525926061441,6.84498245742418,6.084428851043715,1.0402197618569164,1.0980097486267448,1.2352609672050883,78.15698415817745,74.04345867616813,65.81640771214944,1.0,1.0,1.0,7145.781408747652,6769.687650392514,6017.500133682233,0.6252758655715149,5417165.0,True,989.0,989.0,989.0
55518,High Desert Power Plant,CA,CISO,34.5953,-117.3647,960.0,0.2137621146088366,69.37572388187131,6342.9233263425185,6321.494754913948,5.777450331925875,5.473373998666619,4.8652213321481055,1.139757157809611,1.2030769999101447,1.353461624898913,60.663228485221694,57.47042698599951,51.08482398755511,1.0,1.0,1.0,5546.35231864884,5254.439038719955,4670.612478862181,0.5465286101598174,4596087.0,True,960.0,960.0,960.0
55137,Rio Nogales Power Project,TX,ERCO,29.593056,-97.973215,940.2,0.1711165730798814,82.77397071610028,7567.905894043453,7546.477322614882,7.217302086943219,6.837444082367262,6.077728073215343,1.1121135724166684,1.1738976597731496,1.3206348672447936,74.21867492970017,70.3124288807686,62.49993678290541,1.0,1.0,1.0,6785.707422144014,6428.5649262417,5714.279934437065,0.6106368605144733,5029298.0,True,940.2,940.2,940.2
55062,Tenaska Frontier Generation Station,TX,ERCO,30.5924,-95.9178,939.7,0.1629444241491356,75.41096394247998,6894.716703312454,6873.288131883883,7.57927131565828,7.180362299044688,6.382544265817501,0.9650456767026666,1.01865932540837,1.1459917410844165,77.8995137301072,73.79953932325947,65.59959050956397,0.0,1.0,1.0,7122.2412553240865,6747.386452412294,5997.676846588705,0.5220026745152806,4297007.0,True,906.8534223974958,939.7,939.7
3456,Newman,TX,EPE,31.983587,-106.431777,824.8,0.20930435850874,56.94767455162779,5206.644530434541,5185.215959005969,5.900498244753129,5.589945705555597,4.96884062716053,1.0654412602333978,1.124632441357475,1.2652114965271597,53.229869790479164,50.42829769624344,44.82515350777194,1.0,1.0,1.0,4866.73095227238,4610.587217942257,4098.299749282005,0.4105298530929319,2966180.0,True,824.8,824.8,824.8
55320,Wise County Power LLC,TX,ERCO,33.0583,-97.9103,821.7,0.1777069597530096,89.2647727135732,8161.35064809812,8139.922076669548,6.949643400103716,6.583872694835101,5.852331284297867,1.4254252242648422,1.5046155145017777,1.6926924538144996,62.458834176650896,59.17152711472191,52.59691299086393,1.0,1.0,1.0,5710.521981865224,5409.968193346002,4808.860616307558,0.4785936328682657,3444961.0,True,821.7,821.7,821.7
