plant_code,cached,developable_mi2_box,developable_mi2_box_incl_forest,frac_excl_slope,frac_excl_protected,frac_forest,name,state
56237,False,14.892114695845551,14.931381285369318,0.292046875,0.2449375,0.1585234375,Lake Side Power Plant,UT
55965,False,44.27603336955985,130.64654569248302,0.30015,0.0293046875,0.6496671875,Wansley Combined Cycle,GA
55502,True,45.49989999170769,,,,,"Lawrenceburg Power, LLC",IN
59812,False,116.639840466607,149.32562757974458,0.1079734375,0.0116,0.206578125,Wolf Hollow II,TX
60122,False,166.1272105006618,185.41579325539848,0.006853125,0.0320921875,0.100271875,Colorado Bend II,TX
4040,False,62.90403394124625,70.74310467634938,0.0189203125,0.015240625,0.04159375,Port Washington Generating Station,WI
6042,False,90.85107343194483,95.46819887444296,0.000821875,0.137140625,0.0300609375,Manatee,FL
621,False,11.148236505322872,11.244144281504814,0.001440625,0.603521875,0.0009671875,Turkey Point,FL
55405,False,39.07512146334554,104.27746711353156,0.2637875,0.0650453125,0.515996875,Athens Generating Plant,NY
613,False,1.181472605139884,1.3475737537448442,0.0016546875,0.024575,0.0012328125,Lauderdale,FL
55225,False,100.20625151299659,148.3182484378915,0.0414125,0.0,0.2475890625,Oneta Energy Center,OK
60356,True,24.065206998928687,,,,,South Field Energy,OH
117,False,43.72942854371131,43.72942854371131,0.035953125,0.0013109375,0.0,West Phoenix,AZ
60589,True,19.55024418758089,,,,,CPV Fairview Energy Center,PA
60368,True,55.60774562062209,,,,,Hummel Station LLC,PA
6071,False,72.20986816643628,113.14546149093445,0.3973765625,0.0060109375,0.536259375,Trimble County,KY
7826,False,77.43475701669607,148.90029744189422,0.140175,0.048025,0.450965625,Rowan,NC
55382,False,43.49765141793828,102.87429464895659,0.274190625,0.093165625,0.4940328125,Thomas A Smith Energy Facility,GA
3469,False,8.810310714916653,16.06351003464748,0.001875,0.001490625,0.033234375,T H Wharton,TX
136,False,42.9020502281707,108.93177419389731,0.002009375,0.0622390625,0.3095359375,Seminole (FL),FL
55297,True,46.43083090616938,,,,,New Covert Generating Facility,MI
55464,False,14.878562510080712,21.574037261796974,0.009190625,0.012890625,0.0315734375,Deer Park Energy Center,TX
55460,True,104.83936158485837,,,,,Indeck Niles Energy Center,MI
3393,False,68.45904013705983,79.06762165538792,0.02915625,0.06345,0.058971875,Allen,TN
47,False,84.20390006026223,115.3617651013998,0.2758421875,0.1827421875,0.403078125,Colbert,AL
54547,False,18.256531684952716,65.66450993396133,0.0338328125,0.00155,0.2365625,Sithe Independence Station,NY
55151,False,52.55676636381968,52.55676636381968,0.3460765625,0.461128125,2.5e-05,La Paloma Generating Plant,CA
7834,False,68.92954422745966,131.11287987957058,0.1794109375,0.0071375,0.420440625,John S Rainey,SC
55690,True,46.46106270518325,,,,,Bethlehem Power Plant,PA
55215,False,151.27053998297043,151.2740149023973,0.0005578125,0.0,1.5625e-05,Odessa-Ector Power Plant,TX
55198,True,8.510425168376736,,,,,Riverside Generating LLC,KY
6112,False,174.6918444120979,174.8951271985705,0.016528125,0.006965625,0.0010234375,Fort St Vrain,CO
60464,True,36.89460952297708,,,,,Tenaska Westmoreland Generating Station,PA
6073,False,16.201811827837382,52.52444961314968,0.0115765625,0.198384375,0.18405625,Victor J Daniel Jr,MS
