plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,net_gen_MWh_2024,gas_cf,cf_ac,cf_dc,developable_area_mi2_10km_excl_forest,developable_MW_10km_excl_forest,developable_area_mi2_10km_incl_forest,developable_MW_10km_incl_forest,developable_area_mi2_5km_excl_forest,developable_MW_5km_excl_forest,developable_area_mi2_5km_incl_forest,developable_MW_5km_incl_forest
59913,Greensville County Power Station,VA,36.718236,-77.649559,PJM,1773.3,0.0,1773.3,4,11532140.0,0.7423754231655915,0.1554183050852469,0.1554183050852469,36.25105444511853,3314.3821206965504,101.25532968797226,9257.63014290032,9.863211301261904,901.7793189725169,25.289073621076533,2312.143873926997
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,PJM,1740.0,384.4,1355.6,10,4768697.274,0.3128573763974177,0.1498588640853793,0.1498588640853793,1.6161850254428238,147.76548804048673,4.276583338663692,391.0019052492518,0.5518172049888636,50.45185874183895,0.8982666718490001,82.12723856905143
55091,Midlothian Energy Facility,TX,32.4302,-97.0537,ERCO,1734.0,0.0,1734.0,6,6338657.0,0.4172958372175085,0.1732971654798195,0.1732971654798195,86.21518342454154,7882.531055958082,95.1961126833181,8703.644588189083,20.648666218418292,1887.8780542553864,22.29126063150542,2038.0581148804952
55199,Elwood Energy LLC,IL,41.4388,-88.1236,PJM,1728.0,1728.0,0.0,9,216541.0,0.0143051459707424,0.152223744562911,0.152223744562911,37.53468968140874,3431.7430565859418,40.525205340183405,3705.1616311024823,10.297923721564842,941.5244545430712,11.487041149443868,1050.2437622348677
60345,Okeechobee Clean Energy Center,FL,27.634167,-80.791111,FPL,1723.1,0.0,1723.1,4,11062229.0,0.7328718760840145,0.1759378496486895,0.1759378496486895,28.259782239117964,2583.751519005071,36.211787855594764,3310.792032511521,9.928887278429974,907.7839797421689,12.037468386661978,1100.5685382090949
7845,Lagoon Creek,TN,35.6578,-89.3964,TVA,1625.2,1020.8,604.4000000000001,15,3495607.097,0.245534030304103,0.1615246898325728,0.1615246898325728,101.9346764359277,9319.741845570532,106.10701219178493,9701.212543248907,25.954520691324436,2372.984748921091,26.306530029267584,2405.1684598187503
58001,Temple Power Station,TX,31.055833,-97.317222,ERCO,1606.4,0.0,1606.4,6,7360248.0,0.523039690552857,0.1724759364471227,0.1724759364471227,84.44992435568548,7721.135941091243,86.66344803060932,7923.515248512851,21.255387150351893,1943.349682317887,21.520870994565676,1967.6224909317186
7242,Polk,FL,27.7286,-81.9897,TEC,1591.6,0.0,1591.6,7,5763349.8,0.4133680848426843,0.1763081971593811,0.1763081971593811,50.5357532251451,4620.411723441837,53.78827780870667,4917.78539965318,11.550632174955808,1056.0577988531024,12.016271378157999,1098.630526003017
60357,Lackawanna Energy Center,PA,41.471389,-75.544167,PJM,1498.5,0.0,1498.5,3,9607813.0,0.7319201240814635,0.1354907550845271,0.1354907550845271,7.522158083371492,687.7401676225363,33.75884223215875,3086.5227183687994,0.854830179012975,78.15590208118627,5.674195932155638,518.7836280828011
55939,Warren County,VA,38.971667,-78.177222,PJM,1472.2,0.0,1472.2,4,9420053.0,0.7304364325375188,0.1504612389200731,0.1504612389200731,25.785292115235283,2357.5124219643685,43.58556687943839,3984.966114691509,6.875823069971437,628.6466806831028,11.661482104673345,1066.1926495701343
58260,Brunswick County Power Station,VA,36.765,-77.713889,PJM,1472.2,0.0,1472.2,4,9343385.0,0.7244915508675551,0.1554183050852469,0.1554183050852469,35.825376815325484,3275.4630231154724,103.32672915833663,9447.015237333633,8.26440087295349,755.6023655271761,25.99309229696283,2376.5112957223155
10745,Midland Cogeneration Venture,MI,43.5861,-84.2242,MISO,1468.6,0.0,1468.6,14,10766051.4,0.8368523092536178,0.1439884416609878,0.1439884416609878,44.78545655754075,4094.6703138322964,56.7972105404438,5192.887820840575,6.276746960776979,573.8740078424665,8.399227746716512,767.9293939855096
55322,Chuck Lenzie Generating Station,NV,36.383719,-114.921779,NEVP,1465.6,0.0,1465.6,6,5508876.0,0.4290851004965005,0.2059226673483782,0.2059226673483782,7.692081643346023,703.2760359630648,7.692081643346023,703.2760359630648,5.145660687326884,470.46040569845786,5.145660687326884,470.46040569845786
